tar_area,tar_layer,tar_pop,src_area,src_layer,src_pop,syn_num,w,w_sd
bankssts,II/III,E,frontalpole,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,frontalpole,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,frontalpole,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,frontalpole,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,frontalpole,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,frontalpole,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,frontalpole,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,frontalpole,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,fusiform,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,fusiform,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,fusiform,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,fusiform,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,fusiform,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,fusiform,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,fusiform,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,fusiform,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiorparietal,II/III,E,4968294,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiorparietal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiorparietal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiorparietal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiorparietal,V,E,3355160,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiorparietal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiorparietal,VI,E,9640546,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiorparietal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiortemporal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiortemporal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiortemporal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiortemporal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiortemporal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiortemporal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,inferiortemporal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,inferiortemporal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,insula,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,insula,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,insula,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,insula,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,insula,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,insula,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,insula,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,insula,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,isthmuscingulate,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,isthmuscingulate,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,isthmuscingulate,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,isthmuscingulate,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,isthmuscingulate,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,isthmuscingulate,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,isthmuscingulate,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,isthmuscingulate,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateraloccipital,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateraloccipital,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateraloccipital,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateraloccipital,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateraloccipital,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateraloccipital,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateraloccipital,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateraloccipital,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateralorbitofrontal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateralorbitofrontal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateralorbitofrontal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateralorbitofrontal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateralorbitofrontal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateralorbitofrontal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lateralorbitofrontal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lateralorbitofrontal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lingual,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lingual,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lingual,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lingual,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lingual,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lingual,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,lingual,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,lingual,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,medialorbitofrontal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,medialorbitofrontal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,medialorbitofrontal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,medialorbitofrontal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,medialorbitofrontal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,medialorbitofrontal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,medialorbitofrontal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,medialorbitofrontal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,middletemporal,II/III,E,15565186,16.448836593433423,1.6448836593433425
bankssts,II/III,E,middletemporal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,middletemporal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,middletemporal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,middletemporal,V,E,12680986,16.448836593433423,1.6448836593433425
bankssts,II/III,E,middletemporal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,middletemporal,VI,E,14680680,16.448836593433423,1.6448836593433425
bankssts,II/III,E,middletemporal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,paracentral,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,paracentral,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,paracentral,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,paracentral,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,paracentral,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,paracentral,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,paracentral,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,paracentral,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parahippocampal,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parahippocampal,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parahippocampal,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parahippocampal,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parahippocampal,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parahippocampal,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parahippocampal,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parahippocampal,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsopercularis,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsopercularis,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsopercularis,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsopercularis,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsopercularis,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsopercularis,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsopercularis,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsopercularis,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsorbitalis,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsorbitalis,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsorbitalis,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsorbitalis,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsorbitalis,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsorbitalis,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parsorbitalis,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parsorbitalis,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parstriangularis,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parstriangularis,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parstriangularis,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parstriangularis,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parstriangularis,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parstriangularis,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,parstriangularis,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,parstriangularis,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,pericalcarine,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,pericalcarine,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,pericalcarine,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,pericalcarine,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,pericalcarine,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,pericalcarine,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,pericalcarine,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,pericalcarine,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,postcentral,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,postcentral,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,postcentral,IV,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,postcentral,IV,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,postcentral,V,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,postcentral,V,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,postcentral,VI,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,postcentral,VI,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,posteriorcingulate,II/III,E,0,16.448836593433423,1.6448836593433425
bankssts,II/III,E,posteriorcingulate,II/III,I,0,-82.24418296716713,8.224418296716713
bankssts,II/III,E,posteriorcingulate,IV,E,0,16.448836593433423,1.6448836593433425
