area,layer,pop,neuron_num
posteriorcingulate,II/III,E,21176
posteriorcingulate,II/III,I,11402
posteriorcingulate,IV,E,16649
posteriorcingulate,IV,I,4426
posteriorcingulate,V,E,12434
posteriorcingulate,V,I,3507
posteriorcingulate,VI,E,15960
posteriorcingulate,VI,I,2598
precentral,II/III,E,24818
precentral,II/III,I,13363
precentral,IV,E,0
precentral,IV,I,0
precentral,V,E,10608
precentral,V,I,2992
precentral,VI,E,21500
precentral,VI,I,3500
precuneus,II/III,E,28708
precuneus,II/III,I,15458
precuneus,IV,E,22910
precuneus,IV,I,6090
precuneus,V,E,8112
precuneus,V,I,2288
precuneus,VI,E,13416
precuneus,VI,I,2184
rostralanteriorcingulate,II/III,E,13179
rostralanteriorcingulate,II/III,I,7096
rostralanteriorcingulate,IV,E,0
rostralanteriorcingulate,IV,I,0
rostralanteriorcingulate,V,E,11954
rostralanteriorcingulate,V,I,3372
rostralanteriorcingulate,VI,E,18297
rostralanteriorcingulate,VI,I,2979
rostralmiddlefrontal,II/III,E,22539
rostralmiddlefrontal,II/III,I,12136
rostralmiddlefrontal,IV,E,12087
rostralmiddlefrontal,IV,I,3213
rostralmiddlefrontal,V,E,8268
rostralmiddlefrontal,V,I,2332
rostralmiddlefrontal,VI,E,13969
rostralmiddlefrontal,VI,I,2274
superiorfrontal,II/III,E,24938
superiorfrontal,II/III,I,13428
superiorfrontal,IV,E,7149
superiorfrontal,IV,I,1900
superiorfrontal,V,E,8788
superiorfrontal,V,I,2479
superiorfrontal,VI,E,15255
superiorfrontal,VI,I,2483
superiorparietal,II/III,E,28708
superiorparietal,II/III,I,15458
superiorparietal,IV,E,22910
superiorparietal,IV,I,6090
superiorparietal,V,E,8112
superiorparietal,V,I,2288
superiorparietal,VI,E,13416
superiorparietal,VI,I,2184
superiortemporal,II/III,E,30225
superiortemporal,II/III,I,16275
superiortemporal,IV,E,14220
superiortemporal,IV,I,3780
superiortemporal,V,E,15600
superiortemporal,V,I,4400
superiortemporal,VI,E,17415
superiortemporal,VI,I,2835
supramarginal,II/III,E,44460
supramarginal,II/III,I,23940
supramarginal,IV,E,32390
supramarginal,IV,I,8610
supramarginal,V,E,13162
supramarginal,V,I,3712
supramarginal,VI,E,19350
supramarginal,VI,I,3150
temporalpole,II/III,E,22620
temporalpole,II/III,I,12180
temporalpole,IV,E,5925
temporalpole,IV,I,1575
temporalpole,V,E,21840
temporalpole,V,I,6160
temporalpole,VI,E,33540
temporalpole,VI,I,5460
transversetemporal,II/III,E,45695
transversetemporal,II/III,I,24605
transversetemporal,IV,E,51942
transversetemporal,IV,I,13807
transversetemporal,V,E,19500
transversetemporal,V,I,5500
transversetemporal,VI,E,16770
transversetemporal,VI,I,2730
